code,volunit,decimal_point,name,pre_close
600000,100,2,浦发银行,520.0600004196167
600004,100,2,白云机场,312.0424995422363
600006,100,2,东风股份,6.900000095367432
600007,100,2,中国国贸,23.850000381469727
600008,100,2,首创环保,4610.005000114441
600009,100,2,上海机场,48.099998474121094
600010,100,2,包钢股份,1.7799999713897705
600011,100,2,华能国际,6.579999923706055
600012,100,2,皖通高速,16.75
600015,100,2,华夏银行,7.659999847412109
600016,100,2,民生银行,8194.0
